# BEGIN PLOT
Legend=1
LogY=1
Title=$\K^{-}$ in p+p at $\sqrt{s_{NN}}=$ 200GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d02-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d02-x01-y02
LegendOnly=/PHENIX_2011_I886590/d02-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d02-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d02-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d02-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d02-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	1.890000e+00	1.476482e-01	1.476482e-01
5.000000e-01	6.000000e-01	1.370000e+00	1.077033e-01	1.077033e-01
6.000000e-01	7.000000e-01	8.280000e-01	6.239391e-02	6.239391e-02
7.000000e-01	8.000000e-01	5.600000e-01	4.215448e-02	4.215448e-02
8.000000e-01	9.000000e-01	3.870000e-01	2.915476e-02	2.915476e-02
9.000000e-01	1.000000e+00	2.540000e-01	1.931321e-02	1.931321e-02
1.000000e+00	1.100000e+00	1.830000e-01	1.392839e-02	1.392839e-02
1.100000e+00	1.200000e+00	1.160000e-01	8.944272e-03	8.944272e-03
1.200000e+00	1.300000e+00	8.970000e-02	6.894200e-03	6.894200e-03
1.300000e+00	1.400000e+00	6.230000e-02	4.833218e-03	4.833218e-03
1.400000e+00	1.500000e+00	4.270000e-02	3.310589e-03	3.310589e-03
1.500000e+00	1.600000e+00	3.210000e-02	2.459675e-03	2.459675e-03
1.600000e+00	1.700000e+00	2.230000e-02	1.746425e-03	1.746425e-03
1.700000e+00	1.800000e+00	1.810000e-02	1.431782e-03	1.431782e-03
1.800000e+00	1.900000e+00	1.360000e-02	1.029563e-03	1.029563e-03
1.900000e+00	2.000000e+00	1.030000e-02	8.062258e-04	8.062258e-04
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d02-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d02-x01-y02
ScaledBy=2.58294177212236090e-03
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	4.727149e+00	3.702588e-01	3.702588e-01
5.000000e-01	6.000000e-01	2.523799e+00	2.213518e-01	2.213518e-01
6.000000e-01	7.000000e-01	1.417784e+00	1.403816e-01	1.403816e-01
7.000000e-01	8.000000e-01	8.143457e-01	9.220649e-02	9.220649e-02
8.000000e-01	9.000000e-01	4.714405e-01	6.190317e-02	6.190317e-02
9.000000e-01	1.000000e+00	3.188494e-01	4.554991e-02	4.554991e-02
1.000000e+00	1.100000e+00	1.917611e-01	3.196019e-02	3.196019e-02
1.100000e+00	1.200000e+00	1.332178e-01	2.432213e-02	2.432213e-02
1.200000e+00	1.300000e+00	5.637778e-02	1.455668e-02	1.455668e-02
1.300000e+00	1.400000e+00	4.833486e-02	1.248001e-02	1.248001e-02
1.400000e+00	1.500000e+00	1.396596e-02	6.245766e-03	6.245766e-03
1.500000e+00	1.600000e+00	1.711084e-02	6.467290e-03	6.467290e-03
1.600000e+00	1.700000e+00	1.294256e-02	5.283776e-03	5.283776e-03
1.700000e+00	1.800000e+00	3.835223e-03	2.711912e-03	2.711912e-03
1.800000e+00	1.900000e+00	3.431810e-03	2.426656e-03	2.426656e-03
1.900000e+00	2.000000e+00	9.266564e-03	3.783060e-03	3.783060e-03
# END HISTO1D

