# BEGIN PLOT
Legend=1
LogY=1
Title=$\pi^{-}$ in p+p at $\sqrt{s_{NN}}=$ 200GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d01-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y02
LegendOnly=/PHENIX_2011_I886590/d01-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d01-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	2.630000e+01	1.843909e+00	1.843909e+00
4.000000e-01	5.000000e-01	1.400000e+01	1.019804e+00	1.019804e+00
5.000000e-01	6.000000e-01	7.910000e+00	5.629387e-01	5.629387e-01
6.000000e-01	7.000000e-01	4.440000e+00	3.178050e-01	3.178050e-01
7.000000e-01	8.000000e-01	2.690000e+00	1.964688e-01	1.964688e-01
8.000000e-01	9.000000e-01	1.600000e+00	1.140175e-01	1.140175e-01
9.000000e-01	1.000000e+00	9.830000e-01	7.156815e-02	7.156815e-02
1.000000e+00	1.100000e+00	6.300000e-01	4.588028e-02	4.588028e-02
1.100000e+00	1.200000e+00	4.360000e-01	3.228002e-02	3.228002e-02
1.200000e+00	1.300000e+00	2.790000e-01	2.088061e-02	2.088061e-02
1.300000e+00	1.400000e+00	1.900000e-01	1.360147e-02	1.360147e-02
1.400000e+00	1.500000e+00	1.290000e-01	9.486833e-03	9.486833e-03
1.500000e+00	1.600000e+00	9.050000e-02	6.706713e-03	6.706713e-03
1.600000e+00	1.700000e+00	6.470000e-02	4.810405e-03	4.810405e-03
1.700000e+00	1.800000e+00	4.690000e-02	3.511410e-03	3.511410e-03
1.800000e+00	1.900000e+00	3.400000e-02	2.563201e-03	2.563201e-03
1.900000e+00	2.000000e+00	2.560000e-02	1.931321e-03	1.931321e-03
2.000000e+00	2.100000e+00	1.810000e-02	1.431782e-03	1.431782e-03
2.100000e+00	2.200000e+00	1.330000e-02	9.848858e-04	9.848858e-04
2.200000e+00	2.300000e+00	1.030000e-02	8.062258e-04	8.062258e-04
2.300000e+00	2.400000e+00	7.480000e-03	5.905929e-04	5.905929e-04
2.400000e+00	2.500000e+00	6.340000e-03	5.162364e-04	5.162364e-04
2.500000e+00	2.600000e+00	4.960000e-03	4.188078e-04	4.188078e-04
2.600000e+00	2.700000e+00	3.470000e-03	3.000000e-04	3.000000e-04
2.700000e+00	2.800000e+00	2.820000e-03	2.561250e-04	2.561250e-04
2.800000e+00	2.900000e+00	2.230000e-03	2.193171e-04	2.193171e-04
2.900000e+00	3.000000e+00	1.660000e-03	1.697056e-04	1.697056e-04
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y02
ScaledBy=1.83590412365177108e-03
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	6.934265e+01	1.537157e+00	1.537157e+00
4.000000e-01	5.000000e-01	3.349658e+01	8.309478e-01	8.309478e-01
5.000000e-01	6.000000e-01	1.628279e+01	4.740102e-01	4.740102e-01
6.000000e-01	7.000000e-01	8.368137e+00	2.875326e-01	2.875326e-01
7.000000e-01	8.000000e-01	4.185320e+00	1.762338e-01	1.762338e-01
8.000000e-01	9.000000e-01	2.091427e+00	1.099230e-01	1.099230e-01
9.000000e-01	1.000000e+00	1.142410e+00	7.268978e-02	7.268978e-02
1.000000e+00	1.100000e+00	6.777141e-01	5.065473e-02	5.065473e-02
1.100000e+00	1.200000e+00	4.355675e-01	3.707797e-02	3.707797e-02
1.200000e+00	1.300000e+00	2.270759e-01	2.462984e-02	2.462984e-02
1.300000e+00	1.400000e+00	1.351315e-01	1.759262e-02	1.759262e-02
1.400000e+00	1.500000e+00	9.728193e-02	1.389742e-02	1.389742e-02
1.500000e+00	1.600000e+00	5.733537e-02	9.980807e-03	9.980807e-03
1.600000e+00	1.700000e+00	3.986369e-02	7.817914e-03	7.817914e-03
1.700000e+00	1.800000e+00	2.589701e-02	5.941181e-03	5.941181e-03
1.800000e+00	1.900000e+00	1.707484e-02	4.563443e-03	4.563443e-03
1.900000e+00	2.000000e+00	9.879737e-03	3.293246e-03	3.293246e-03
2.000000e+00	2.100000e+00	4.966316e-03	2.221004e-03	2.221004e-03
2.100000e+00	2.200000e+00	4.515077e-03	2.019204e-03	2.019204e-03
2.200000e+00	2.300000e+00	4.947187e-03	2.019680e-03	2.019680e-03
2.300000e+00	2.400000e+00	2.267554e-03	1.309173e-03	1.309173e-03
2.400000e+00	2.500000e+00	3.477042e-03	1.554980e-03	1.554980e-03
2.500000e+00	2.600000e+00	6.419360e-04	6.419360e-04	6.419360e-04
2.600000e+00	2.700000e+00	1.783206e-03	1.029535e-03	1.029535e-03
2.700000e+00	2.800000e+00	2.759794e-03	1.234218e-03	1.234218e-03
2.800000e+00	2.900000e+00	5.139044e-04	5.139045e-04	5.139045e-04
2.900000e+00	3.000000e+00	4.796540e-04	4.796539e-04	4.796539e-04
# END HISTO1D

