# BEGIN PLOT
Legend=1
LogY=1
Title=protons in p+p no FD at $\sqrt{s_{NN}}=$ 62GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d07-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d07-x01-y01
LegendOnly=/PHENIX_2011_I886590/d07-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d07-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d07-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d07-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e-01	7.000000e-01	4.630000e-01	4.257934e-02	4.257934e-02
7.000000e-01	8.000000e-01	3.280000e-01	3.041381e-02	3.041381e-02
8.000000e-01	9.000000e-01	2.490000e-01	2.236068e-02	2.236068e-02
9.000000e-01	1.000000e+00	1.690000e-01	1.529706e-02	1.529706e-02
1.000000e+00	1.100000e+00	1.200000e-01	1.140175e-02	1.140175e-02
1.100000e+00	1.200000e+00	8.120000e-02	7.596052e-03	7.596052e-03
1.200000e+00	1.300000e+00	5.810000e-02	5.470832e-03	5.470832e-03
1.300000e+00	1.400000e+00	3.950000e-02	3.862642e-03	3.862642e-03
1.400000e+00	1.500000e+00	2.550000e-02	2.507987e-03	2.507987e-03
1.500000e+00	1.600000e+00	1.840000e-02	1.878829e-03	1.878829e-03
1.600000e+00	1.700000e+00	1.370000e-02	1.389244e-03	1.389244e-03
1.700000e+00	1.800000e+00	9.310000e-03	1.020784e-03	1.020784e-03
1.800000e+00	1.900000e+00	5.900000e-03	6.888396e-04	6.888396e-04
1.900000e+00	2.000000e+00	4.020000e-03	5.091169e-04	5.091169e-04
2.000000e+00	2.100000e+00	3.110000e-03	4.177320e-04	4.177320e-04
2.100000e+00	2.200000e+00	1.990000e-03	3.080584e-04	3.080584e-04
2.200000e+00	2.300000e+00	1.370000e-03	2.418677e-04	2.418677e-04
2.300000e+00	2.400000e+00	8.940000e-04	1.700000e-04	1.700000e-04
2.400000e+00	2.500000e+00	6.340000e-04	1.419472e-04	1.419472e-04
2.500000e+00	2.600000e+00	6.330000e-04	1.511589e-04	1.511589e-04
2.600000e+00	2.700000e+00	4.560000e-04	1.268109e-04	1.268109e-04
2.700000e+00	2.800000e+00	4.110000e-04	1.160560e-04	1.160560e-04
2.800000e+00	2.900000e+00	2.400000e-04	9.751410e-05	9.751410e-05
2.900000e+00	3.000000e+00	1.630000e-04	6.768309e-05	6.768309e-05
3.000000e+00	3.200000e+00	9.650000e-05	3.805535e-05	3.805535e-05
3.200000e+00	3.400000e+00	9.050000e-05	4.187183e-05	4.187183e-05
3.400000e+00	3.600000e+00	2.130000e-05	1.910497e-05	1.910497e-05
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d07-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d07-x01-y01
ScaledBy=3.61858429650555079e-03
Title=Rivet_pp62
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e-01	7.000000e-01	4.936419e-01	7.904597e-02	7.904597e-02
7.000000e-01	8.000000e-01	5.155816e-01	7.520530e-02	7.520530e-02
8.000000e-01	9.000000e-01	3.000569e-01	5.389180e-02	5.389180e-02
9.000000e-01	1.000000e+00	2.511512e-01	4.663760e-02	4.663760e-02
1.000000e+00	1.100000e+00	1.802185e-01	3.757815e-02	3.757815e-02
1.100000e+00	1.200000e+00	8.585077e-02	2.478298e-02	2.478298e-02
1.200000e+00	1.300000e+00	9.872838e-02	2.549156e-02	2.549156e-02
1.300000e+00	1.400000e+00	5.484910e-02	1.828303e-02	1.828303e-02
1.400000e+00	1.500000e+00	2.837023e-02	1.268755e-02	1.268755e-02
1.500000e+00	1.600000e+00	2.653989e-02	1.186900e-02	1.186900e-02
1.600000e+00	1.700000e+00	4.487654e-02	1.495885e-02	1.495885e-02
1.700000e+00	1.800000e+00	1.880541e-02	9.402703e-03	9.402703e-03
1.800000e+00	1.900000e+00	1.334167e-02	7.702819e-03	7.702819e-03
1.900000e+00	2.000000e+00	1.687665e-02	8.438323e-03	8.438323e-03
2.000000e+00	2.100000e+00	8.026698e-03	5.675733e-03	5.675733e-03
2.100000e+00	2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	2.600000e+00	3.226418e-03	3.226418e-03	3.226418e-03
2.600000e+00	2.700000e+00	6.209332e-03	4.390661e-03	4.390661e-03
2.700000e+00	2.800000e+00	2.991769e-03	2.991769e-03	2.991769e-03
2.800000e+00	2.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

