# BEGIN PLOT
Legend=1
LogY=1
Title=antiprotons in p+p noFD at $\sqrt{s_{NN}}=$ 200GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d03-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y02
LegendOnly=/PHENIX_2011_I886590/d03-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d03-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d03-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d03-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	7.880000e-01	5.728001e-02	5.728001e-02
6.000000e-01	7.000000e-01	6.040000e-01	4.368066e-02	4.368066e-02
7.000000e-01	8.000000e-01	4.620000e-01	3.324154e-02	3.324154e-02
8.000000e-01	9.000000e-01	3.180000e-01	2.280351e-02	2.280351e-02
9.000000e-01	1.000000e+00	2.180000e-01	1.552417e-02	1.552417e-02
1.000000e+00	1.100000e+00	1.580000e-01	1.140175e-02	1.140175e-02
1.100000e+00	1.200000e+00	1.080000e-01	8.246211e-03	8.246211e-03
1.200000e+00	1.300000e+00	7.540000e-02	5.565968e-03	5.565968e-03
1.300000e+00	1.400000e+00	5.580000e-02	4.110961e-03	4.110961e-03
1.400000e+00	1.500000e+00	3.730000e-02	2.751363e-03	2.751363e-03
1.500000e+00	1.600000e+00	2.680000e-02	2.024846e-03	2.024846e-03
1.600000e+00	1.700000e+00	1.930000e-02	1.486607e-03	1.486607e-03
1.700000e+00	1.800000e+00	1.390000e-02	1.077033e-03	1.077033e-03
1.800000e+00	1.900000e+00	9.690000e-03	7.280110e-04	7.280110e-04
1.900000e+00	2.000000e+00	6.940000e-03	5.255473e-04	5.255473e-04
2.000000e+00	2.100000e+00	5.120000e-03	3.900000e-04	3.900000e-04
2.100000e+00	2.200000e+00	3.610000e-03	2.731300e-04	2.731300e-04
2.200000e+00	2.300000e+00	2.900000e-03	2.193171e-04	2.193171e-04
2.300000e+00	2.400000e+00	2.090000e-03	1.655295e-04	1.655295e-04
2.400000e+00	2.500000e+00	1.580000e-03	1.252996e-04	1.252996e-04
2.500000e+00	2.600000e+00	1.100000e-03	8.944272e-05	8.944272e-05
2.600000e+00	2.700000e+00	8.850000e-04	7.306162e-05	7.306162e-05
2.700000e+00	2.800000e+00	6.220000e-04	5.215362e-05	5.215362e-05
2.800000e+00	2.900000e+00	5.070000e-04	4.326662e-05	4.326662e-05
2.900000e+00	3.000000e+00	3.800000e-04	3.360060e-05	3.360060e-05
3.000000e+00	3.100000e+00	3.130000e-04	2.860070e-05	2.860070e-05
3.000000e+00	3.200000e+00	2.750000e-04	2.282542e-05	2.282542e-05
3.200000e+00	3.400000e+00	1.920000e-04	1.664332e-05	1.664332e-05
3.400000e+00	3.600000e+00	1.120000e-04	1.140175e-05	1.140175e-05
3.600000e+00	3.800000e+00	7.160000e-05	7.789737e-06	7.789737e-06
3.800000e+00	4.000000e+00	4.400000e-05	5.517246e-06	5.517246e-06
4.000000e+00	4.200000e+00	3.810000e-05	5.307542e-06	5.307542e-06
4.200000e+00	4.400000e+00	2.630000e-05	4.327817e-06	4.327817e-06
4.400000e+00	4.600000e+00	1.820000e-05	3.560899e-06	3.560899e-06
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y02
ScaledBy=3.61858429650555079e-03
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.713468e+00	2.158767e-01	2.158767e-01
6.000000e-01	7.000000e-01	8.373413e-01	1.276933e-01	1.276933e-01
7.000000e-01	8.000000e-01	4.680457e-01	8.273957e-02	8.273957e-02
8.000000e-01	9.000000e-01	3.188460e-01	6.025623e-02	6.025623e-02
9.000000e-01	1.000000e+00	2.005563e-01	4.275874e-02	4.275874e-02
1.000000e+00	1.100000e+00	1.343243e-01	3.166054e-02	3.166054e-02
1.100000e+00	1.200000e+00	5.598963e-02	1.866321e-02	1.866321e-02
1.200000e+00	1.300000e+00	6.845168e-02	1.898508e-02	1.898508e-02
1.300000e+00	1.400000e+00	4.062896e-02	1.354299e-02	1.354299e-02
1.400000e+00	1.500000e+00	3.130508e-02	1.106802e-02	1.106802e-02
1.500000e+00	1.600000e+00	6.849003e-03	4.842976e-03	4.842976e-03
1.600000e+00	1.700000e+00	1.510995e-02	6.757373e-03	6.757373e-03
1.700000e+00	1.800000e+00	5.372973e-03	3.799266e-03	3.799266e-03
1.800000e+00	1.900000e+00	2.403905e-03	2.403905e-03	2.403905e-03
1.900000e+00	2.000000e+00	4.327345e-03	3.059895e-03	3.059895e-03
2.000000e+00	2.100000e+00	1.957731e-03	1.957731e-03	1.957731e-03
2.100000e+00	2.200000e+00	3.559704e-03	2.517091e-03	2.517091e-03
2.200000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.400000e+00	1.489790e-03	1.489790e-03	1.489790e-03
2.400000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	2.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

