# BEGIN PLOT
Legend=1
LogY=1
Title=$K^+/\pi^+$ ratio vs $p_T$ (200 GeV)
XLabel=$p_{T}$(GeV/c)
YLabel=Ratio
DrawOnly=/PHENIX_2011_I886590/d24-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y01
LegendOnly=/PHENIX_2011_I886590/d24-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d24-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d24-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d24-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	1.353140e-01	7.721957e-03	7.721957e-03
5.000000e-01	6.000000e-01	1.733470e-01	9.708502e-03	9.708502e-03
6.000000e-01	7.000000e-01	1.981570e-01	1.104483e-02	1.104483e-02
7.000000e-01	8.000000e-01	2.214120e-01	1.239173e-02	1.239173e-02
8.000000e-01	9.000000e-01	2.482740e-01	1.399661e-02	1.399661e-02
9.000000e-01	1.000000e+00	2.569310e-01	1.459178e-02	1.459178e-02
1.000000e+00	1.100000e+00	2.659230e-01	1.521982e-02	1.521982e-02
1.100000e+00	1.200000e+00	3.023420e-01	1.755376e-02	1.755376e-02
1.200000e+00	1.300000e+00	3.084360e-01	1.803699e-02	1.803699e-02
1.300000e+00	1.400000e+00	3.234700e-01	1.914299e-02	1.914299e-02
1.400000e+00	1.500000e+00	3.552290e-01	2.132663e-02	2.132663e-02
1.500000e+00	1.600000e+00	3.625740e-01	2.197174e-02	2.197174e-02
1.600000e+00	1.700000e+00	3.669990e-01	2.244362e-02	2.244362e-02
1.700000e+00	1.800000e+00	4.147700e-01	2.559880e-02	2.559880e-02
1.800000e+00	1.900000e+00	4.325500e-01	2.707774e-02	2.707774e-02
1.900000e+00	2.000000e+00	4.537780e-01	2.884843e-02	2.884843e-02
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y01
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0, dn: 0}}, 1: {"": {up: 0, dn: 0}}, 2: {"": {up: 0, dn: 0}}, 3: {"": {up: 0, dn: 0}}, 4: {"": {up: 0, dn: 0}}, 5: {"": {up: 0, dn: 0}}, 6: {"": {up: 0, dn: 0}}, 7: {"": {up: 0, dn: 0}}, 8: {"": {up: 0, dn: 0}}, 9: {"": {up: -0, dn: -0}}, 10: {"": {up: .nan, dn: .nan}}, 11: {"": {up: 0, dn: 0}}, 12: {"": {up: 0, dn: 0}}, 13: {"": {up: .nan, dn: .nan}}, 14: {"": {up: -0, dn: -0}}, 15: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y01
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+00	1.400000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+00	1.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00
1.900000e+00	2.000000e+00	nan	nan	nan
# END HISTO1D

