# BEGIN PLOT
Legend=1
LogY=1
Title=$K^+/\pi^+$ ratio vs $p_T$ (62.4 GeV)
XLabel=$p_{T}$(GeV/c)
YLabel=Ratio
DrawOnly=/PHENIX_2011_I886590/d24-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y02
LegendOnly=/PHENIX_2011_I886590/d24-x01-y02 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d24-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d24-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d24-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	1.101030e-01	5.206289e-03	5.206289e-03
5.000000e-01	6.000000e-01	1.374960e-01	6.404418e-03	6.404418e-03
6.000000e-01	7.000000e-01	1.798580e-01	8.462544e-03	8.462544e-03
7.000000e-01	8.000000e-01	1.945580e-01	9.269424e-03	9.269424e-03
8.000000e-01	9.000000e-01	2.214350e-01	1.079074e-02	1.079074e-02
9.000000e-01	1.000000e+00	2.517850e-01	1.276978e-02	1.276978e-02
1.000000e+00	1.100000e+00	2.604550e-01	1.369438e-02	1.369438e-02
1.100000e+00	1.200000e+00	2.996230e-01	1.663177e-02	1.663177e-02
1.200000e+00	1.300000e+00	2.947430e-01	1.745384e-02	1.745384e-02
1.300000e+00	1.400000e+00	3.170070e-01	2.015575e-02	2.015575e-02
1.400000e+00	1.500000e+00	3.404170e-01	2.329682e-02	2.329682e-02
1.500000e+00	1.600000e+00	3.238740e-01	2.494316e-02	2.494316e-02
1.600000e+00	1.700000e+00	3.674820e-01	3.024434e-02	3.024434e-02
1.700000e+00	1.800000e+00	4.106570e-01	3.737112e-02	3.737112e-02
1.800000e+00	1.900000e+00	4.000000e-01	4.236902e-02	4.236902e-02
1.900000e+00	2.000000e+00	4.745500e-01	5.710253e-02	5.710253e-02
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y02
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0, dn: 0}}, 1: {"": {up: 0, dn: 0}}, 2: {"": {up: 0, dn: 0}}, 3: {"": {up: 0, dn: 0}}, 4: {"": {up: 0, dn: 0}}, 5: {"": {up: 0, dn: 0}}, 6: {"": {up: 0, dn: 0}}, 7: {"": {up: 0, dn: 0}}, 8: {"": {up: 0, dn: 0}}, 9: {"": {up: -0, dn: -0}}, 10: {"": {up: .nan, dn: .nan}}, 11: {"": {up: 0, dn: 0}}, 12: {"": {up: 0, dn: 0}}, 13: {"": {up: .nan, dn: .nan}}, 14: {"": {up: -0, dn: -0}}, 15: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d24-x01-y02
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+00	1.400000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+00	1.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00
1.900000e+00	2.000000e+00	nan	nan	nan
# END HISTO1D

