# BEGIN PLOT
Legend=1
LogY=1
Title=$p/\pi^+$ ratio vs $p_T$ (62.4 GeV)
XLabel=$p_{T}$(GeV/c)
YLabel=Ratio
DrawOnly=/PHENIX_2011_I886590/d27-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d27-x01-y01
LegendOnly=/PHENIX_2011_I886590/d27-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d27-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d27-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d27-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d27-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e-01	7.000000e-01	8.750000e-02	1.862081e-02	1.862081e-02
7.000000e-01	8.000000e-01	1.245940e-01	1.787967e-02	1.787967e-02
8.000000e-01	9.000000e-01	1.736940e-01	1.866751e-02	1.866751e-02
9.000000e-01	1.000000e+00	2.042840e-01	1.800365e-02	1.800365e-02
1.000000e+00	1.100000e+00	2.400090e-01	1.868772e-02	1.868772e-02
1.100000e+00	1.200000e+00	2.711590e-01	1.978636e-02	1.978636e-02
1.200000e+00	1.300000e+00	3.160120e-01	2.251660e-02	2.251660e-02
1.300000e+00	1.400000e+00	3.347580e-01	2.412464e-02	2.412464e-02
1.400000e+00	1.500000e+00	3.251390e-01	2.414532e-02	2.414532e-02
1.500000e+00	1.600000e+00	3.369720e-01	2.647566e-02	2.647566e-02
1.600000e+00	1.700000e+00	3.669060e-01	3.081458e-02	3.081458e-02
1.700000e+00	1.800000e+00	3.727550e-01	3.460023e-02	3.460023e-02
1.800000e+00	1.900000e+00	3.476970e-01	3.638818e-02	3.638818e-02
1.900000e+00	2.000000e+00	3.385790e-01	4.067711e-02	4.067711e-02
2.000000e+00	2.100000e+00	4.078490e-01	5.488834e-02	5.488834e-02
2.100000e+00	2.200000e+00	3.304920e-01	5.427789e-02	5.427789e-02
2.200000e+00	2.300000e+00	3.032460e-01	5.806783e-02	5.806783e-02
2.300000e+00	2.400000e+00	3.122110e-01	6.982516e-02	6.982516e-02
2.400000e+00	2.500000e+00	3.035700e-01	8.107342e-02	8.107342e-02
2.500000e+00	2.600000e+00	4.097240e-01	1.304794e-01	1.304794e-01
2.600000e+00	2.700000e+00	4.714570e-01	1.677741e-01	1.677741e-01
2.700000e+00	2.800000e+00	3.549220e-01	1.396928e-01	1.396928e-01
2.800000e+00	2.900000e+00	3.477320e-01	1.857480e-01	1.857480e-01
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d27-x01-y01
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0, dn: 0}}, 1: {"": {up: 0, dn: 0}}, 2: {"": {up: 0, dn: 0}}, 3: {"": {up: 0, dn: 0}}, 4: {"": {up: 0, dn: 0}}, 5: {"": {up: 0, dn: 0}}, 6: {"": {up: 0, dn: 0}}, 7: {"": {up: -0, dn: -0}}, 8: {"": {up: .nan, dn: .nan}}, 9: {"": {up: 0, dn: 0}}, 10: {"": {up: 0, dn: 0}}, 11: {"": {up: .nan, dn: .nan}}, 12: {"": {up: -0, dn: -0}}, 13: {"": {up: .nan, dn: .nan}}, 14: {"": {up: .nan, dn: .nan}}, 15: {"": {up: .nan, dn: .nan}}, 16: {"": {up: .nan, dn: .nan}}, 17: {"": {up: .nan, dn: .nan}}, 18: {"": {up: .nan, dn: .nan}}, 19: {"": {up: .nan, dn: .nan}}, 20: {"": {up: .nan, dn: .nan}}, 21: {"": {up: .nan, dn: .nan}}, 22: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d27-x01-y01
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+00	1.400000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+00	1.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	nan	nan	nan
2.100000e+00	2.200000e+00	nan	nan	nan
2.200000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.400000e+00	nan	nan	nan
2.400000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	2.600000e+00	nan	nan	nan
2.600000e+00	2.700000e+00	nan	nan	nan
2.700000e+00	2.800000e+00	nan	nan	nan
2.800000e+00	2.900000e+00	nan	nan	nan
# END HISTO1D

