# BEGIN PLOT
Legend=1
LogY=1
Title=$\pi^-/\pi^+$ ratio vs $p_T$ (200 GeV)
XLabel=$p_{T}$(GeV/c)
YLabel=Ratio
DrawOnly=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d18-x01-y01piminus_200H
LegendOnly=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d18-x01-y01piminus_200H
# END PLOT

# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d18-x01-y01piminus_200H
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d18-x01-y01piminus_200H
ScaledBy=1.00000000000000000e+00
Title=Rivet_pp62
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	4.451284e+41	4.407428e+39	4.407428e+39
4.000000e-01	5.000000e-01	4.154532e+41	4.257980e+39	4.257980e+39
5.000000e-01	6.000000e-01	2.374018e+41	3.218731e+39	3.218731e+39
6.000000e-01	7.000000e-01	2.374018e+41	3.218731e+39	3.218731e+39
7.000000e-01	8.000000e-01	1.483761e+41	2.544630e+39	2.544630e+39
8.000000e-01	9.000000e-01	1.483761e+40	8.046826e+38	8.046826e+38
9.000000e-01	1.000000e+00	4.451284e+40	1.393751e+39	1.393751e+39
1.000000e+00	1.100000e+00	4.451284e+40	1.393751e+39	1.393751e+39
1.100000e+00	1.200000e+00	1.483761e+40	8.046826e+38	8.046826e+38
1.200000e+00	1.300000e+00	2.967523e+40	1.137993e+39	1.137993e+39
1.300000e+00	1.400000e+00	2.988835e+13	3.522376e+12	3.522376e+12
1.400000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+00	1.700000e+00	-2.305957e+16	2.040842e+15	2.040842e+15
1.700000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.100000e+00	1.483761e+40	8.046826e+38	8.046826e+38
2.100000e+00	2.200000e+00	2.015740e+05	1.863552e+04	1.863552e+04
2.200000e+00	2.300000e+00	1.483761e+40	8.046826e+38	8.046826e+38
2.300000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	2.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

