# BEGIN PLOT
Legend=1
LogY=1
Title=$\pi^-$ ratio (200 GeV/62.4 GeV) vs $p_T$
XLabel=$p_{T}$(GeV/c)
YLabel=Ratio
DrawOnly=/PHENIX_2011_I886590/d13-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d13-x01-y01
LegendOnly=/PHENIX_2011_I886590/d13-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d13-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d13-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d13-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	1.261870e+00	1.153040e-01	1.153040e-01
4.000000e-01	5.000000e-01	1.247990e+00	1.141930e-01	1.141930e-01
5.000000e-01	6.000000e-01	1.332600e+00	1.220950e-01	1.220950e-01
6.000000e-01	7.000000e-01	1.367840e+00	1.256110e-01	1.256110e-01
7.000000e-01	8.000000e-01	1.397820e+00	1.288330e-01	1.288330e-01
8.000000e-01	9.000000e-01	1.389420e+00	1.285060e-01	1.285060e-01
9.000000e-01	1.000000e+00	1.471780e+00	1.366800e-01	1.366800e-01
1.000000e+00	1.100000e+00	1.550800e+00	1.446980e-01	1.446980e-01
1.100000e+00	1.200000e+00	1.725470e+00	1.620900e-01	1.620900e-01
1.200000e+00	1.300000e+00	1.744690e+00	1.647990e-01	1.647990e-01
1.300000e+00	1.400000e+00	1.844510e+00	1.756050e-01	1.756050e-01
1.400000e+00	1.500000e+00	1.907730e+00	1.833220e-01	1.833220e-01
1.500000e+00	1.600000e+00	1.992950e+00	1.938390e-01	1.938390e-01
1.600000e+00	1.700000e+00	2.108470e+00	2.082440e-01	2.082440e-01
1.700000e+00	1.800000e+00	2.083960e+00	2.100200e-01	2.100200e-01
1.800000e+00	1.900000e+00	2.187900e+00	2.270730e-01	2.270730e-01
1.900000e+00	2.000000e+00	2.661200e+00	2.902210e-01	2.902210e-01
2.000000e+00	2.100000e+00	2.503460e+00	2.873150e-01	2.873150e-01
2.100000e+00	2.200000e+00	2.812300e+00	3.555190e-01	3.555190e-01
2.200000e+00	2.300000e+00	3.103550e+00	4.357110e-01	4.357110e-01
2.300000e+00	2.400000e+00	2.805630e+00	4.441980e-01	4.441980e-01
2.400000e+00	2.500000e+00	3.615740e+00	6.991960e-01	6.991960e-01
2.500000e+00	2.600000e+00	3.333330e+00	6.886150e-01	6.886150e-01
2.600000e+00	2.700000e+00	3.241830e+00	8.367820e-01	8.367820e-01
2.700000e+00	2.800000e+00	3.704380e+00	1.280700e+00	1.280700e+00
2.800000e+00	2.900000e+00	4.382110e+00	1.747090e+00	1.747090e+00
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d13-x01-y01
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.01400280084027972, dn: 0.01400280084027972}}, 1: {"": {up: 0.014494275891310483, dn: 0.014494275891310483}}, 2: {"": {up: 0.019174124721183454, dn: 0.019174124721183454}}, 3: {"": {up: 0.019174124721183454, dn: 0.019174124721183454}}, 4: {"": {up: 0.024253562503632555, dn: 0.024253562503632555}}, 5: {"": {up: 0.076696498884736911, dn: 0.076696498884736911}}, 6: {"": {up: 0.044280744277004701, dn: 0.044280744277004701}}, 7: {"": {up: 0.044280744277004701, dn: 0.044280744277004701}}, 8: {"": {up: 0.076696498884736911, dn: 0.076696498884736911}}, 9: {"": {up: 0.054232614454663555, dn: 0.054232614454663555}}, 10: {"": {up: 0.16666666554262799, dn: 0.16666666554262799}}, 11: {"": {up: .nan, dn: .nan}}, 12: {"": {up: .nan, dn: .nan}}, 13: {"": {up: 0.12516220349854587, dn: 0.12516220349854587}}, 14: {"": {up: .nan, dn: .nan}}, 15: {"": {up: .nan, dn: .nan}}, 16: {"": {up: .nan, dn: .nan}}, 17: {"": {up: 0.076696498884736911, dn: 0.076696498884736911}}, 18: {"": {up: 0.13074409009212307, dn: 0.13074409009212307}}, 19: {"": {up: 0.076696498884736911, dn: 0.076696498884736911}}, 20: {"": {up: .nan, dn: .nan}}, 21: {"": {up: .nan, dn: .nan}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}, 25: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d13-x01-y01
Title=Rivet_pp62
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	1.000000e+00	1.400280e-02	1.400280e-02
4.000000e-01	5.000000e-01	1.000000e+00	1.449428e-02	1.449428e-02
5.000000e-01	6.000000e-01	1.000000e+00	1.917412e-02	1.917412e-02
6.000000e-01	7.000000e-01	1.000000e+00	1.917412e-02	1.917412e-02
7.000000e-01	8.000000e-01	1.000000e+00	2.425356e-02	2.425356e-02
8.000000e-01	9.000000e-01	1.000000e+00	7.669650e-02	7.669650e-02
9.000000e-01	1.000000e+00	1.000000e+00	4.428074e-02	4.428074e-02
1.000000e+00	1.100000e+00	1.000000e+00	4.428074e-02	4.428074e-02
1.100000e+00	1.200000e+00	1.000000e+00	7.669650e-02	7.669650e-02
1.200000e+00	1.300000e+00	1.000000e+00	5.423261e-02	5.423261e-02
1.300000e+00	1.400000e+00	1.000000e+00	1.666667e-01	1.666667e-01
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	nan	nan	nan
1.600000e+00	1.700000e+00	1.000000e+00	1.251622e-01	1.251622e-01
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	nan	nan	nan
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	1.000000e+00	7.669650e-02	7.669650e-02
2.100000e+00	2.200000e+00	1.000000e+00	1.307441e-01	1.307441e-01
2.200000e+00	2.300000e+00	1.000000e+00	7.669650e-02	7.669650e-02
