# BEGIN PLOT
Legend=1
LogY=1
Title=$\bar{p}/\pi^-$ ratio vs $p_T$ (200 GeV)
XLabel=$p_{T}$(GeV/c)
YLabel=Ratio
DrawOnly=/PHENIX_2011_I886590/d28-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d28-x01-y01
LegendOnly=/PHENIX_2011_I886590/d28-x01-y01 //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d28-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d28-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d28-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d28-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	5.761410e-02	1.352029e-02	1.352029e-02
6.000000e-01	7.000000e-01	8.180180e-02	1.712781e-02	1.712781e-02
7.000000e-01	8.000000e-01	1.068820e-01	2.019604e-02	2.019604e-02
8.000000e-01	9.000000e-01	1.271540e-01	2.189379e-02	2.189379e-02
9.000000e-01	1.000000e+00	1.463890e-01	2.318671e-02	2.318671e-02
1.000000e+00	1.100000e+00	1.686230e-01	2.478551e-02	2.478551e-02
1.100000e+00	1.200000e+00	1.713890e-01	2.357240e-02	2.357240e-02
1.200000e+00	1.300000e+00	1.898030e-01	2.457660e-02	2.457660e-02
1.300000e+00	1.400000e+00	2.106950e-01	2.588693e-02	2.588693e-02
1.400000e+00	1.500000e+00	2.112750e-01	2.472532e-02	2.472532e-02
1.500000e+00	1.600000e+00	2.183910e-01	2.452078e-02	2.452078e-02
1.600000e+00	1.700000e+00	2.233890e-01	2.415995e-02	2.415995e-02
1.700000e+00	1.800000e+00	2.248990e-01	2.357637e-02	2.357637e-02
1.800000e+00	1.900000e+00	2.182350e-01	2.223032e-02	2.223032e-02
1.900000e+00	2.000000e+00	2.094030e-01	2.087850e-02	2.087850e-02
2.000000e+00	2.100000e+00	2.207620e-01	2.162182e-02	2.162182e-02
2.100000e+00	2.200000e+00	2.143290e-01	2.078850e-02	2.078850e-02
2.200000e+00	2.300000e+00	2.226960e-01	2.147602e-02	2.147602e-02
2.300000e+00	2.400000e+00	2.229500e-01	2.153704e-02	2.153704e-02
2.400000e+00	2.500000e+00	1.997790e-01	1.949457e-02	1.949457e-02
2.500000e+00	2.600000e+00	1.792740e-01	1.791603e-02	1.791603e-02
2.600000e+00	2.700000e+00	2.071140e-01	2.113173e-02	2.113173e-02
2.700000e+00	2.800000e+00	1.800500e-01	1.911968e-02	1.911968e-02
2.800000e+00	2.900000e+00	1.860340e-01	2.065297e-02	2.065297e-02
2.900000e+00	3.000000e+00	1.886210e-01	2.218845e-02	2.218845e-02
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d28-x01-y01
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0, dn: 0}}, 1: {"": {up: 0, dn: 0}}, 2: {"": {up: 0, dn: 0}}, 3: {"": {up: 0, dn: 0}}, 4: {"": {up: 0, dn: 0}}, 5: {"": {up: 0, dn: 0}}, 6: {"": {up: 0, dn: 0}}, 7: {"": {up: 0, dn: 0}}, 8: {"": {up: 0, dn: 0}}, 9: {"": {up: .nan, dn: .nan}}, 10: {"": {up: .nan, dn: .nan}}, 11: {"": {up: -0, dn: -0}}, 12: {"": {up: .nan, dn: .nan}}, 13: {"": {up: .nan, dn: .nan}}, 14: {"": {up: .nan, dn: .nan}}, 15: {"": {up: 0, dn: 0}}, 16: {"": {up: 0, dn: 0}}, 17: {"": {up: 0, dn: 0}}, 18: {"": {up: .nan, dn: .nan}}, 19: {"": {up: .nan, dn: .nan}}, 20: {"": {up: .nan, dn: .nan}}, 21: {"": {up: .nan, dn: .nan}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d28-x01-y01
Title=Rivet_pp62
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+00	1.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	nan	nan	nan
1.600000e+00	1.700000e+00	-0.000000e+00	-0.000000e+00	-0.000000e+00
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	nan	nan	nan
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.400000e+00	nan	nan	nan
2.400000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	2.600000e+00	nan	nan	nan
2.600000e+00	2.700000e+00	nan	nan	nan
2.700000e+00	2.800000e+00	nan	nan	nan
2.800000e+00	2.900000e+00	nan	nan	nan
2.900000e+00	3.000000e+00	nan	nan	nan
# END HISTO1D

