# BEGIN PLOT
Legend=1
LogY=1
Title=$p/\pi^+$ ratio vs $p_T$ (62.4 GeV)
XLabel=$p_{T}$(GeV/c)
YLabel=Ratio
DrawOnly=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d27-x01-y01piplus_62S
LegendOnly=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d27-x01-y01piplus_62S
# END PLOT

# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d27-x01-y01piplus_62S
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/sharr100/rivet/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp62.yoda/PHENIX_2011_I886590:beam=pp62/d27-x01-y01piplus_62S
ScaledBy=1.00000000000000000e+00
Title=Rivet_pp62
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e-01	7.000000e-01	4.451284e+40	1.393751e+39	1.393751e+39
7.000000e-01	8.000000e-01	4.451284e+40	1.393751e+39	1.393751e+39
8.000000e-01	9.000000e-01	4.451284e+40	1.393751e+39	1.393751e+39
9.000000e-01	1.000000e+00	7.418807e+40	1.799325e+39	1.799325e+39
1.000000e+00	1.100000e+00	5.935046e+40	1.609365e+39	1.609365e+39
1.100000e+00	1.200000e+00	2.967523e+40	1.137993e+39	1.137993e+39
1.200000e+00	1.300000e+00	1.483761e+40	8.046826e+38	8.046826e+38
1.300000e+00	1.400000e+00	-4.617892e+16	2.886182e+15	2.886182e+15
1.400000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	1.600000e+00	2.967523e+40	1.137993e+39	1.137993e+39
1.600000e+00	1.700000e+00	1.483761e+40	8.046826e+38	8.046826e+38
1.700000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	1.900000e+00	-2.308946e+16	2.040839e+15	2.040839e+15
1.900000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	2.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	2.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

